gss-code,year,vacancy-dwellings
E07000099,2014,1116
E07000099,2015,1157
E07000101,2011,682
E07000101,2012,623
E07000101,2013,547
E07000101,2014,507
E07000101,2015,424
E07000102,2011,605
E07000102,2012,650
E07000102,2013,582
E07000102,2014,456
E07000102,2015,550
E07000103,2011,646
E07000103,2012,725
E07000103,2013,600
E07000103,2014,440
E07000103,2015,595
E07000105,2011,1221
E07000105,2012,1163
E07000105,2013,997
E07000105,2014,1007
E07000105,2015,1008
E07000106,2011,1955
E07000106,2012,2091
E07000106,2013,1678
E07000106,2014,1584
E07000106,2015,1544
E07000107,2011,1086
E07000107,2012,1033
E07000107,2013,814
E07000107,2014,837
E07000107,2015,878
E07000108,2011,2087
E07000108,2012,1873
E07000108,2013,1490
E07000108,2014,1400
E07000108,2015,1476
E07000109,2011,892
E07000109,2012,862
E07000109,2013,682
E07000109,2014,728
E07000109,2015,680
E07000110,2011,1583
E07000110,2012,1401
E07000110,2013,1239
E07000110,2014,1112
E07000110,2015,1017
E07000111,2011,1409
E07000111,2012,1304
E07000111,2013,1258
E07000111,2014,1154
E07000111,2015,1165
E07000112,2011,2003
E07000112,2012,2004
E07000112,2013,1939
E07000112,2014,1676
E07000112,2015,1683
E07000113,2011,1784
E07000113,2012,1845
E07000113,2013,1633
E07000113,2014,1634
E07000113,2015,1442
E07000114,2011,3377
E07000114,2012,3065
E07000114,2013,2452
E07000114,2014,2443
E07000114,2015,2420
E07000115,2011,1016
E07000115,2012,1030
E07000115,2013,1258
E07000115,2014,1139
E07000115,2015,1132
E07000116,2011,1208
E07000116,2012,1341
E07000116,2013,1200
E07000116,2014,1076
E07000116,2015,1025
E07000117,2011,2824
E07000117,2012,2978
E07000117,2013,2626
E07000117,2014,2458
E07000117,2015,2456
E07000118,2011,1672
E07000118,2012,1752
E07000118,2013,1528
E07000118,2014,1485
E07000118,2015,1409
E07000119,2011,1827
E07000119,2012,1784
E07000119,2013,1755
E07000119,2014,1702
E07000119,2015,1618
E07000120,2011,2547
E07000120,2012,2565
E07000120,2013,2312
E07000120,2014,2166
E07000120,2015,1962
E07000121,2011,2427
E07000121,2012,2540
E07000121,2013,2388
E07000121,2014,2274
E07000121,2015,2457
E07000122,2011,2746
E07000122,2012,2554
E07000122,2013,2519
E07000122,2014,2190
E07000122,2015,2045
E07000123,2011,2399
E07000123,2012,2478
E07000123,2013,2193
E07000123,2014,2301
E07000123,2015,2289
E07000124,2011,822
E07000124,2012,842
E07000124,2013,940
E07000124,2014,797
E07000124,2015,813
E07000125,2011,1470
E07000125,2012,1585
E07000125,2013,1575
E07000125,2014,1441
E07000125,2015,1372
E07000126,2011,1462
E07000126,2012,1545
E07000126,2013,1573
E07000126,2014,1418
E07000126,2015,1399
E07000127,2011,1632
E07000127,2012,1603
E07000127,2013,1670
E07000127,2014,1559
E07000127,2015,1390
E07000128,2011,1984
E07000128,2012,1925
E07000128,2013,1784
E07000128,2014,1619
E07000128,2015,1548
E07000129,2011,978
E07000129,2012,1052
E07000129,2013,835
E07000129,2014,802
E07000129,2015,777
E07000130,2011,1773
E07000130,2012,1631
E07000130,2013,1462
E07000130,2014,1527
E07000130,2015,1559
