gss.code,sex,age,year,popn
E06000005,F,14,2021,634.4635166352
E06000005,F,14,2022,689.1612626843
E06000005,F,14,2023,635.0413824661
E06000005,F,14,2024,637.9108721354
E06000005,F,14,2025,622.9922941233
E06000005,F,14,2026,666.0855955984
E06000005,F,14,2027,644.7234693646
E06000005,F,14,2028,563.6629086201
E06000005,F,14,2029,588.7313340177
E06000005,F,14,2030,589.5545459997
E06000005,F,14,2031,588.2540329615
E06000005,F,14,2032,588.3328882183
E06000005,F,14,2033,586.559642891
E06000005,F,14,2034,583.6753851573
E06000005,F,14,2035,580.1033662025
E06000005,F,14,2036,576.8782509707
E06000005,F,14,2037,571.7710665863
E06000005,F,15,2011,661
E06000005,F,15,2012,639
E06000005,F,15,2013,653
E06000005,F,15,2014,673
E06000005,F,15,2015,580.8333333333
E06000005,F,15,2016,580.5833333333
E06000005,F,15,2017,530.25
E06000005,F,15,2018,567.7507360673
E06000005,F,15,2019,589.3222395154
E06000005,F,15,2020,578.2321012914
E06000005,F,15,2021,648.2355997577
E06000005,F,15,2022,633.2968499685
E06000005,F,15,2023,687.9945960176
E06000005,F,15,2024,633.8747157995
E06000005,F,15,2025,636.7442054687
E06000005,F,15,2026,621.8256274566
E06000005,F,15,2027,664.9189289317
E06000005,F,15,2028,643.5568026979
E06000005,F,15,2029,562.4962419535
E06000005,F,15,2030,587.5646673511
E06000005,F,15,2031,588.387879333
E06000005,F,15,2032,587.0873662948
E06000005,F,15,2033,587.1662215516
E06000005,F,15,2034,585.3929762243
E06000005,F,15,2035,582.5087184907
E06000005,F,15,2036,578.9366995358
E06000005,F,15,2037,575.711584304
E06000005,F,16,2011,625
E06000005,F,16,2012,653
E06000005,F,16,2013,646
E06000005,F,16,2014,663
E06000005,F,16,2015,677.5
E06000005,F,16,2016,585.3333333333
E06000005,F,16,2017,585.0833333333
E06000005,F,16,2018,534.75
E06000005,F,16,2019,572.2507360673
E06000005,F,16,2020,593.8222395154
E06000005,F,16,2021,582.7321012914
E06000005,F,16,2022,652.7355997577
E06000005,F,16,2023,637.7968499685
E06000005,F,16,2024,692.4945960176
E06000005,F,16,2025,638.3747157995
E06000005,F,16,2026,641.2442054687
E06000005,F,16,2027,626.3256274566
E06000005,F,16,2028,669.4189289317
E06000005,F,16,2029,648.0568026979
E06000005,F,16,2030,566.9962419535
E06000005,F,16,2031,592.0646673511
E06000005,F,16,2032,592.887879333
E06000005,F,16,2033,591.5873662948
E06000005,F,16,2034,591.6662215516
E06000005,F,16,2035,589.8929762243
E06000005,F,16,2036,587.0087184907
E06000005,F,16,2037,583.4366995358
E06000005,F,17,2011,639
E06000005,F,17,2012,619
E06000005,F,17,2013,655
E06000005,F,17,2014,645
E06000005,F,17,2015,666.6336429309
E06000005,F,17,2016,681.1269452086
E06000005,F,17,2017,588.9557914514
E06000005,F,17,2018,588.7343274123
E06000005,F,17,2019,538.4010626437
E06000005,F,17,2020,575.9173817651
E06000005,F,17,2021,597.4772702538
E06000005,F,17,2022,586.3804571417
E06000005,F,17,2023,656.3873911539
E06000005,F,17,2024,641.4269673913
E06000005,F,17,2025,696.1293451505
E06000005,F,17,2026,641.9925292117
E06000005,F,17,2027,644.8787795051
E06000005,F,17,2028,629.9593079171
E06000005,F,17,2029,673.0572284236
E06000005,F,17,2030,651.6817591804
E06000005,F,17,2031,570.6278162282
E06000005,F,17,2032,595.7213357258
E06000005,F,17,2033,596.5367788163
E06000005,F,17,2034,595.2360133189
E06000005,F,17,2035,595.3152712895
E06000005,F,17,2036,593.5420014241
E06000005,F,17,2037,590.6582926904
E06000005,F,18,2011,643
E06000005,F,18,2012,619
E06000005,F,18,2013,593
E06000005,F,18,2014,645
E06000005,F,18,2015,623.2349765258
E06000005,F,18,2016,644.8747504492
E06000005,F,18,2017,659.361957016
E06000005,F,18,2018,567.1867223556
E06000005,F,18,2019,566.9912231713
E06000005,F,18,2020,516.6580134729
E06000005,F,18,2021,554.1885109632
E06000005,F,18,2022,575.7378274808
E06000005,F,18,2023,564.6349441387
E06000005,F,18,2024,634.6450057236
E06000005,F,18,2025,619.6648608169
E06000005,F,18,2026,674.3714583352
E06000005,F,18,2027,620.2192320873
E06000005,F,18,2028,623.1207365289
